#lambda/nm	DC	C1
552.34	41061.2	41071.4
552.743	41131.6	41115.4
553.146	41310.8	41331.6
553.571	41355.8	41430.8
553.975	41594.8	41546.8
554.399	41663.8	41720.6
554.803	41825	41810
555.207	41872.6	41900.4
555.632	42052.4	42011.6
556.036	42235.2	42303.4
556.461	42335.2	42240.2
556.865	42457	42476.2
557.268	42581.4	42625
557.694	42767.8	42848.4
558.098	42937.8	42873.4
558.502	43053	43034.4
558.927	43111.8	43141.6
559.332	43283	43218.8
559.736	43546.4	43432.6
560.162	43488.6	43584
560.566	43741	43728.4
560.992	43852.2	43881.2
561.396	44061.2	44071.2
561.801	44179.8	44236.6
562.227	44287.6	44366.4
562.631	44484.2	44486.6
563.036	44572	44566.4
563.462	44643	44718.6
563.867	44976.2	44932.2
564.272	45103.2	45081.4
564.698	45266.8	45256.8
565.103	45339.6	45394.8
565.508	45641.4	45534.6
565.935	45825	45714.6
566.34	45907.8	45845.4
566.745	45983.4	45972.2
567.172	46237.4	46216.2
567.577	46330.2	46331
567.982	46534.8	46507
568.409	46554.8	46579.4
568.815	46691.6	46755.6
569.22	46904.4	46832.8
569.626	47072	47080.8
570.053	47144	47132.6
570.459	47349.8	47388.8
570.865	47512.8	47529.8
571.292	47577.6	47618.2
571.698	47811.4	47652.4
572.104	47863.2	47897
572.531	48006.4	48071.6
572.937	48164.4	48163.4
573.343	48226.4	48279.6
573.75	48358.6	48399.2
574.177	48548.4	48516.8
574.583	48685.6	48718.8
574.99	48799	48740
575.396	48889	48947
575.824	49102.8	49109.8
576.231	49239.8	49210
576.637	49287.2	49197
577.065	49536.2	49484.4
577.472	49569.6	49491.4
577.879	49664	49636.8
578.286	49741.6	49806.6
578.714	49918.4	49884.4
579.121	50047.8	49966.8
579.528	50198.4	50063.4
579.935	50228.8	50136.8
580.364	50309.6	50280.6
580.771	50357	50464
581.178	50429.4	50524.4
581.585	50568	50637.2
582.014	50717.8	50612.4
582.421	50821.8	50716.6
582.829	50843.8	50811.8
583.236	50912.4	50872
583.644	51024.2	50939.8
584.073	50991.6	50968.8
584.481	51058.2	51156.4
584.889	51082.2	51135.2
585.296	51277	51264.6
585.726	51324	51198
586.134	51403.6	51365.6
586.542	51405.4	51379
586.95	51501.6	51486.6
587.358	51540.2	51486.6
587.787	51651.6	51497.4
588.196	51551.2	51609.2
588.604	51692.4	51707
589.012	51713.4	51687.2
589.421	51729.8	51628
589.851	51829.6	51786.2
590.259	51712	51752.4
590.668	51804.2	51868.4
591.076	51877.6	51731.6
591.485	51829	51777.8
591.894	51835.8	51844.8
592.324	51940.6	51756.2
592.733	51872	51896.2
593.142	51881.8	51861.4
593.551	51777.8	51805.2
593.96	51818.8	51949.2
594.369	51801.4	51944.2
594.8	51940	51901.8
595.209	51803.6	51797.2
595.618	51869.8	51883.6
596.028	51833.2	51730.8
596.437	51807.6	51774.2
596.847	51809.8	51775.6
597.256	51721.4	51698.6
597.687	51668.6	51700.8
598.097	51681.6	51646.6
598.507	51642.2	51575
598.917	51508	51620.2
599.327	51531.8	51504.6
599.736	51441.4	51322.8
600.146	51379.2	51465
600.556	51362.4	51422.8
600.988	51217.8	51347
601.398	51292.6	51128.8
601.808	51105.6	51158.2
602.219	51109.2	51058.2
602.629	51040.4	50980.8
603.039	50913.6	50815.8
603.45	50807.4	50848.2
603.86	50648	50701.2
604.271	50582.4	50676.4
604.703	50492.2	50464.2
605.114	50298.6	50404.4
605.525	50337.2	50220.4
605.935	50227.2	50173.8
606.346	50194.4	50034
606.757	50035.6	50036.8
607.168	49807	49843
607.579	49768.4	49654
607.99	49698.2	49590.6
608.402	49545.4	49532.2
608.813	49458.2	49347.8
609.224	49222	49192.2
609.636	49160.6	49062.2
610.047	48991.8	48967.2
610.48	48855.6	48782.4
610.892	48683.4	48615.8
611.303	48652.4	48561.2
611.715	48444	48403
612.127	48302.4	48260.8
612.539	48066	48011.4
612.95	48043	47984
613.362	47885.4	47852.4
613.774	47621	47556.4
614.186	47500.4	47483.4
614.599	47350.2	47305.6
615.011	47191.8	47107
615.423	47009.4	46986.6
615.835	46773.2	46795.2
616.248	46593.2	46584
616.66	46288	46264.8
617.073	46194.6	46070
