#lambda/nm	DC	C1
644.31	551.8	547.2
644.727	549.4	558.2
645.123	558.8	553.6
645.54	541	546.4
645.957	552.2	558.6
646.374	556.4	570.8
646.77	554	553
647.187	573.8	580.6
647.604	560.4	555.2
648.021	538.8	543.6
648.439	549.4	543.8
648.835	558	556.2
649.252	550.4	555.8
649.67	555.6	544.2
650.088	555.2	551.2
650.484	548.8	556.8
650.902	558	565
651.32	558	564
651.738	548.2	547.6
652.134	561	548.8
652.552	564.8	569.6
652.971	565.4	557.6
653.389	547	543.6
653.786	570.4	567.6
654.204	574.2	571.4
654.622	542.8	550.4
655.019	553.2	547.4
655.438	551.6	556.8
655.857	546.6	554.4
656.275	551	552.2
656.673	538.8	541.8
657.091	557.4	555.2
657.51	536.6	545.8
657.908	552.4	551
658.327	562.8	568.8
658.746	533.2	543.6
659.144	547	554.4
659.563	559.2	569
659.982	549.4	553.6
660.38	538.8	546.8
660.8	548.4	547.2
661.219	558.6	557.4
661.617	556.6	553.6
662.037	546.6	551
662.457	555.4	559.8
662.855	528.6	537
663.275	578.2	582.6
663.695	551.2	552.4
664.094	540	552
664.514	547.6	553.8
664.934	540.6	544.6
665.333	549.2	546.6
665.753	537	541.8
666.152	531.6	545.6
666.572	541.4	537.8
666.993	556	558.4
667.392	537.2	537.2
667.812	544.6	548
668.212	543	544
668.632	551.2	560.8
669.053	536.8	546.8
669.453	550.6	558.4
669.874	547.4	550
670.273	546.4	554.8
670.694	535	548
671.116	556.4	568.6
671.515	549.2	567.6
671.937	545.8	536.8
672.337	544.2	541.6
672.758	547.4	549.8
673.158	554.4	550
673.58	539	546.8
673.98	547.6	552.4
674.402	560.6	555.6
674.824	552.8	540
675.224	536	544.6
675.646	538.6	539.8
676.047	543	539.2
676.469	545.8	551.8
676.869	554.6	553.4
677.292	550.4	549.8
677.693	544.2	544.2
678.115	550.4	539.6
678.516	561.8	553.6
678.939	558.6	554.4
679.34	544	542.8
679.762	566.6	555.6
680.164	546.4	551.6
680.586	547	538.2
680.988	552.4	552.2
681.411	570	570.2
681.812	541.8	540.2
682.236	548.4	538.6
682.637	541	541
683.061	537.8	537.4
683.462	553.6	546
683.864	540.6	539.2
684.288	557.2	552
684.69	543.4	537.4
685.114	551.2	557.2
685.516	554.8	550.6
685.94	545	534.2
686.342	554.4	551.8
686.766	545	534.4
687.168	546.4	534.6
687.571	556.8	559
687.995	550.4	545
688.398	536.2	534.6
688.822	543.6	539.2
689.225	563.2	557
689.628	564.8	561.8
690.052	547	542.2
690.456	548	547.4
690.88	546.8	551.2
691.284	531.2	537.8
691.687	551.4	554
692.112	542.8	536.8
692.515	534.2	538
692.919	542	544.8
693.344	544.8	545
693.747	545.8	544.2
694.173	540.2	535
694.577	555.8	549
694.98	550	548.2
695.406	548.2	537
695.81	544.6	547.8
696.214	542.8	548.8
696.64	550.2	539.8
697.044	543.4	537.8
697.448	553.2	556.4
697.874	539.8	539.6
698.279	546.6	533.4
698.684	537.4	521.2
699.11	539.4	537.6
699.514	535.6	537.8
699.919	534.8	539
700.324	527.8	529.6
700.75	555.8	535
701.156	543.2	540.6
701.561	546	561.2
701.987	551.6	551.8
702.393	551.4	546.6
702.798	551.2	549.6
703.203	544.4	541
703.63	538	540
704.036	541	546.8
704.442	551	548
704.847	541	535.6
705.274	541.6	538.6
705.68	552	547.4
706.086	549.6	548.8
706.492	535.4	532.6
706.92	541.4	546.2
707.326	551.6	553.2
707.732	545.6	537
708.139	531.6	539
708.545	542.6	536.2
708.973	539.8	548.4
709.38	539.4	543.6
709.786	531.6	529.4
710.193	551.2	550
710.6	542.4	541
